Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
360,Mike Muscala,C,32,DET,13,4,13.2,1.2,3.4,.341,1.0,2.6,.382,0.2,0.8,.200,.489,0.2,0.3,.500,0.8,1.5,2.2,0.8,0.2,0.4,0.2,1.0,3.5,muscami01
360,Mike Muscala,C,32,OKC,4,0,5.0,0.5,2.3,.222,0.3,1.8,.143,0.3,0.5,.500,.278,0.0,0.0,,0.0,1.3,1.3,0.3,0.0,0.0,0.0,0.5,1.3,muscami01
361,Svi Mykhailiuk,SF,26,BOS,27,0,7.7,1.0,2.7,.351,0.7,2.2,.322,0.3,0.6,.467,.480,0.1,0.2,.500,0.3,0.7,1.0,0.5,0.3,0.0,0.3,0.4,2.7,mykhasv01
362,Larry Nance Jr.,C,31,NOP,48,0,18.9,2.1,3.7,.582,0.4,1.0,.429,1.7,2.7,.641,.641,0.8,1.0,.750,1.5,3.6,5.0,1.6,1.0,0.4,0.8,1.5,5.5,nancela02
363,Pete Nance,PF,23,CLE,3,0,2.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,nancepe01
364,Andrew Nembhard,PG,24,IND,53,32,24.0,3.8,7.7,.489,0.8,2.4,.346,2.9,5.3,.553,.543,0.6,0.8,.810,0.6,1.5,2.1,4.2,0.9,0.1,1.6,2.0,9.0,nembhan01
365,Aaron Nesmith,SF,24,IND,58,33,27.3,4.4,8.8,.502,2.1,4.7,.444,2.3,4.1,.567,.620,1.4,1.9,.735,0.8,2.9,3.8,1.4,1.0,0.7,0.9,3.3,12.3,nesmiaa01
366,Georges Niang,PF,30,CLE,66,6,21.8,3.3,7.6,.442,1.7,4.7,.367,1.6,2.9,.566,.556,0.6,0.7,.833,0.3,3.3,3.6,1.2,0.3,0.2,0.8,2.3,9.0,niangge01
367,Daishen Nix,PG,21,MIN,12,0,3.3,0.7,1.7,.400,0.4,1.2,.357,0.3,0.5,.500,.525,0.1,0.3,.250,0.0,0.1,0.1,0.2,0.3,0.0,0.2,0.1,1.8,nixda01
368,Zeke Nnaji,PF,23,DEN,52,0,9.8,1.1,2.6,.440,0.1,0.4,.238,1.0,2.2,.478,.459,0.8,1.1,.712,1.1,1.0,2.1,0.6,0.3,0.7,0.5,1.4,3.2,nnajize01
369,Jaylen Nowell,SG,24,MEM,9,1,17.3,2.4,6.1,.400,0.4,2.6,.174,2.0,3.6,.563,.436,0.3,0.3,1.000,0.3,1.2,1.6,1.8,0.3,0.0,0.6,1.4,5.7,nowelja01
370,Markquis Nowell,SG,24,TOR,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,nowelma01
371,Frank Ntilikina,PG,25,CHO,5,0,8.6,0.2,1.8,.111,0.2,1.6,.125,0.0,0.2,.000,.167,0.4,0.4,1.000,0.2,1.0,1.2,0.8,0.0,0.0,0.2,0.8,1.0,ntilila01
372,Jusuf Nurkić,C,29,PHO,63,63,27.4,4.5,8.6,.522,0.3,1.4,.241,4.2,7.3,.575,.541,2.2,3.5,.635,2.9,8.1,11.1,3.8,1.0,1.1,2.3,3.4,11.6,nurkiju01
373,Jordan Nwora,SF,25,TOT,38,1,11.4,2.2,5.0,.429,0.8,2.3,.330,1.4,2.7,.515,.505,0.8,0.9,.882,0.5,1.8,2.2,1.0,0.5,0.2,0.7,0.9,5.9,nworajo01
373,Jordan Nwora,SF,25,IND,18,0,10.2,2.1,4.6,.451,0.6,2.0,.306,1.4,2.6,.565,.518,0.5,0.6,.818,0.4,1.4,1.8,1.0,0.3,0.1,0.7,1.1,5.2,nworajo01
373,Jordan Nwora,SF,25,TOR,20,1,12.6,2.3,5.5,.413,0.9,2.6,.346,1.4,2.9,.474,.495,1.1,1.2,.913,0.5,2.1,2.6,1.0,0.6,0.3,0.7,0.9,6.5,nworajo01
374,Royce O'Neale,SF,30,TOT,64,12,25.4,2.6,6.9,.380,2.0,5.5,.363,0.6,1.4,.444,.524,0.3,0.5,.677,0.8,4.0,4.8,3.0,0.8,0.6,1.0,2.4,7.5,onealro01
374,Royce O'Neale,SF,30,BRK,49,6,24.5,2.6,6.6,.388,2.0,5.4,.366,0.6,1.2,.483,.537,0.3,0.4,.682,0.8,3.7,4.5,2.8,0.7,0.6,1.0,2.4,7.4,onealro01
374,Royce O'Neale,SF,30,PHO,15,6,28.3,2.7,7.7,.357,2.0,5.7,.353,0.7,2.0,.367,.487,0.4,0.6,.667,0.7,5.0,5.7,3.5,1.2,0.5,0.7,2.1,7.9,onealro01
375,Chuma Okeke,SF,25,ORL,39,8,10.2,1.0,2.7,.375,0.6,1.9,.303,0.4,0.7,.571,.486,0.1,0.1,.400,0.5,1.4,1.9,0.5,0.2,0.2,0.3,0.5,2.6,okekech01
376,Josh Okogie,SG,25,PHO,54,11,17.1,1.5,3.7,.417,0.5,1.7,.297,1.0,2.0,.519,.485,1.4,1.9,.740,1.3,1.4,2.7,1.1,0.9,0.4,0.6,1.2,4.9,okogijo01
377,Onyeka Okongwu,C,23,ATL,53,8,25.8,4.0,6.6,.610,0.4,1.2,.338,3.6,5.4,.671,.641,1.7,2.2,.800,2.7,4.3,7.0,1.3,0.4,1.1,0.8,3.0,10.2,okongon01
378,Isaac Okoro,SF,23,CLE,57,34,27.2,3.5,7.1,.498,1.2,3.1,.399,2.3,4.0,.575,.585,1.4,2.1,.686,1.1,2.1,3.2,2.0,0.9,0.5,0.8,2.1,9.7,okorois01
379,Kelly Olynyk,C,32,TOT,65,14,21.2,3.2,5.9,.543,0.8,1.9,.400,2.4,4.0,.612,.608,1.8,2.2,.821,1.4,3.7,5.1,4.2,0.9,0.4,1.7,2.8,9.0,olynyke01
379,Kelly Olynyk,C,32,UTA,50,8,20.4,2.9,5.2,.562,0.7,1.7,.429,2.2,3.5,.626,.632,1.6,1.9,.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1,olynyke01
379,Kelly Olynyk,C,32,TOR,15,6,24.0,4.3,8.5,.504,0.9,2.7,.341,3.3,5.7,.581,.559,2.3,3.0,.778,1.7,3.3,5.0,3.7,1.5,0.7,1.9,3.4,11.8,olynyke01
380,Eugene Omoruyi,SF,26,WAS,34,0,7.4,1.7,3.4,.491,0.2,0.8,.222,1.5,2.6,.573,.517,0.7,1.0,.727,0.8,1.2,2.0,0.7,0.6,0.0,0.5,1.4,4.2,omorueu01
381,Cedi Osman,SF,28,SAS,63,1,17.4,2.5,5.3,.474,1.1,3.0,.374,1.4,2.3,.608,.581,0.5,0.8,.680,0.4,2.1,2.5,1.7,0.5,0.1,0.7,1.5,6.7,osmande01
382,Kelly Oubre Jr.,SF,28,PHI,53,37,29.4,5.4,12.2,.443,1.4,4.6,.302,4.0,7.6,.527,.499,2.4,3.3,.731,1.3,3.3,4.7,1.2,1.1,0.5,1.1,3.0,14.5,oubreke01
383,Chris Paul,PG,38,GSW,41,14,27.1,3.4,8.0,.430,1.4,3.8,.372,2.0,4.2,.483,.518,1.0,1.2,.833,0.3,3.5,3.9,7.0,1.3,0.1,1.1,1.8,9.3,paulch01
384,Cameron Payne,PG,29,TOT,62,6,16.3,2.6,5.9,.438,1.2,3.2,.379,1.4,2.7,.509,.541,0.9,1.0,.862,0.2,1.2,1.4,2.5,0.5,0.1,0.8,1.6,7.2,payneca01
384,Cameron Payne,PG,29,MIL,47,2,14.9,2.1,4.7,.455,1.1,2.8,.397,1.0,1.9,.538,.572,0.8,0.9,.841,0.1,1.2,1.3,2.3,0.5,0.1,0.7,1.6,6.2,payneca01
384,Cameron Payne,PG,29,PHI,15,4,20.5,3.9,9.4,.411,1.5,4.5,.343,2.3,4.9,.473,.493,1.3,1.4,.905,0.5,1.0,1.5,3.1,0.4,0.3,1.1,1.9,10.5,payneca01
385,Gary Payton II,SG,31,GSW,30,0,15.5,2.3,4.3,.523,0.5,1.4,.333,1.8,2.9,.614,.577,0.3,0.5,.643,1.2,1.7,2.9,1.0,1.0,0.3,0.6,1.6,5.3,paytoga02
386,Drew Peterson,PF,24,BOS,1,0,3.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,peterdr01
387,Filip Petrušev,C,23,TOT,3,0,3.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0,petrufi01
387,Filip Petrušev,C,23,PHI,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,petrufi01
387,Filip Petrušev,C,23,SAC,2,0,3.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,1.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,petrufi01
388,Julian Phillips,SF,20,CHI,40,0,8.1,0.8,1.9,.416,0.3,1.0,.316,0.5,1.0,.513,.494,0.3,0.5,.684,0.3,0.6,0.9,0.3,0.2,0.2,0.3,1.0,2.2,phillju01
