,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
110,Nenad Krstić,C,26,OKC,6,129,.405,10.5,,1.000,.351,.108,.162,.378,.000,,.405,.538,.500,.167,.357,,,.667,,,.027,1,,,,,0,0,krstine01
111,Ty Lawson,PG,22,DEN,6,118,.429,8.6,,.714,.600,.057,.000,.057,.286,,.440,.476,.000,,.500,.400,,.182,1.000,,.029,1,,.100,1.000,,0,0,lawsoty01
112,Rashard Lewis,PF,30,ORL,14,512,.462,17.4,,.476,.140,.098,.119,.119,.524,,.559,.550,.571,.647,.471,.373,,.289,.964,,.007,1,,.373,.393,,0,0,lewisra02
113,Robin Lopez,C,21,PHO,6,104,.543,3.3,,1.000,.686,.200,.057,.057,.000,,.543,.583,.286,.500,1.000,,,.684,,,.171,6,,,,,0,0,lopezro01
114,Jamaal Magloire,C,31,MIA,1,5,.000,3.0,,1.000,.500,.500,.000,.000,.000,,.000,.000,.000,,,,,,,,.000,0,,,,,0,0,magloja01
115,Ian Mahinmi,C,23,SAS,2,19,.500,6.2,,1.000,.500,.167,.167,.167,.000,,.500,1.000,.000,.000,.000,,,.667,,,.167,1,,,,,0,0,mahinia01
116,Shawn Marion,SF,31,DAL,6,148,.407,6.2,,.932,.390,.441,.085,.017,.068,,.436,.565,.385,.200,.000,.000,,.667,,,.034,1,,.750,.000,,0,0,mariosh01
117,Kenyon Martin,PF,32,DEN,6,205,.480,7.8,,.980,.560,.080,.100,.240,.020,,.490,.643,.750,.000,.250,.000,,.667,,,.200,9,,.000,,,1,0,martike01
118,Roger Mason,SG,29,SAS,6,61,.083,21.3,,.417,.083,.000,.000,.333,.583,,.000,.000,,,.000,.143,,,1.000,,.000,0,,.286,.000,,0,0,masonro01
119,Wesley Matthews,SG,23,UTA,10,371,.386,12.8,,.584,.376,.099,.030,.079,.416,,.407,.526,.300,.000,.125,.357,,.542,.933,,.069,6,,.357,.467,,0,0,matthwe02
120,Eric Maynor,PG,22,OKC,6,76,.300,12.6,,.700,.250,.200,.150,.100,.300,,.357,.000,.250,1.000,.500,.167,,.000,.000,,.000,0,,.000,,,0,0,maynoer01
121,Luc Mbah a Moute,PF,23,MIL,7,178,.520,4.6,,.960,.740,.080,.060,.080,.040,,.542,.649,.250,.000,.250,.000,,.577,,,.020,1,,.000,,,0,0,mbahalu01
122,Antonio McDyess,PF,35,SAS,10,247,.532,14.0,,1.000,.210,.016,.113,.661,.000,,.532,.769,.000,.286,.512,,,.909,,,.097,6,,,,,0,0,mcdyean01
123,C.J. Miles,SF,22,UTA,10,337,.443,15.1,,.566,.255,.113,.075,.123,.434,,.533,.741,.333,.500,.308,.326,,.531,1.000,,.028,3,,.065,.333,,0,0,milescj01
124,Andre Miller,PG,33,POR,6,210,.405,10.4,,.905,.351,.149,.135,.270,.095,,.403,.423,.364,.600,.300,.429,,.370,1.000,,.000,0,,.000,,,0,0,millean02
125,Brad Miller,C,33,CHI,5,93,.370,10.3,,.852,.333,.222,.074,.222,.148,,.435,.333,.500,.500,.500,.000,,.800,,,.000,0,,.000,,,0,0,millebr01
126,Patty Mills,PG,21,POR,3,12,.500,6.3,,.750,.750,.000,.000,.000,.250,,.333,.333,,,,1.000,,1.000,1.000,,.000,0,,.000,,,0,0,millspa02
127,Paul Millsap,PF,24,UTA,10,323,.574,6.9,,.984,.475,.197,.139,.172,.016,,.583,.690,.583,.235,.571,.000,,.714,,,.025,3,,.500,.000,,1,0,millspa01
128,Nazr Mohammed,C,32,CHA,4,48,.579,6.0,,1.000,.474,.211,.211,.105,.000,,.579,.889,.250,.250,.500,,,.545,,,.000,0,,,,,0,0,mohamna01
129,Jamario Moon,SF,29,CLE,11,113,.583,17.4,,.333,.250,.042,.042,.000,.667,,.750,.833,.000,1.000,,.500,,1.000,.875,,.125,3,,.500,.375,,0,0,moonja01
130,Randolph Morris,PF,24,ATL,3,10,.500,0.8,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,1.000,,,.000,0,,,,,0,0,morrira01
131,Adam Morrison,SF,25,LAL,2,13,.444,12.4,,.778,.222,.333,.000,.222,.222,,.571,1.000,.333,,.500,.000,,.500,,,.000,0,,.000,,,0,0,morriad01
